UserMail,ExperimentNo,SampleNo,ModNo,O,C,E,A,N,TimeSeconds,CheckBoxes
user1,2,0,0,-2,1,1,1,-1,38,1110000
user1,2,1,0,0,1,1,1,-2,377,0
user1,2,2,0,0,2,1,1,-2,25,1110000
user1,2,3,0,1,1,2,2,-1,84,1110000
user1,2,4,0,0,1,1,-1,1,27,1010000
user1,2,5,0,-3,0,0,0,-2,54,1010000
user1,2,6,0,0,3,1,2,-3,68,1110100
user1,2,7,0,0,1,1,2,-2,53,1010000
user1,2,8,0,2,1,3,1,-1,42,1001100
user1,2,9,0,-1,1,1,0,-1,67,1110000
user1,2,10,0,2,2,2,3,-2,32,1010000
user1,2,11,0,-1,1,1,1,-2,50,1011000
user1,2,12,0,-1,1,-3,0,-3,70,1010000
user1,2,13,0,-1,1,1,0,-1,41,1100000
user1,2,14,0,-1,0,1,-1,-1,52,1010000
user1,2,15,0,-1,2,1,0,-1,87,1110000
user1,2,16,0,-1,1,0,1,-2,37,1110000
user1,2,17,0,-1,0,0,1,-2,41,1110100
user1,2,18,0,1,2,2,2,-2,46,1110000
user1,2,19,0,-2,2,-1,1,-2,25,1110000
user1,2,20,0,-1,0,-2,1,3,40,1110000
user1,2,21,0,-3,1,0,0,-2,23,1110000
user1,2,22,0,2,2,3,2,-2,30,1111100
user1,2,23,0,-1,0,2,-1,-1,76,1110000
user1,2,24,0,-3,1,0,0,-1,74,1010000
user1,2,25,0,1,1,2,2,-1,19,1010000
user1,2,26,0,1,3,2,3,-2,69,1110000
user1,2,27,0,-2,1,1,-1,0,50,1110000
user1,2,28,0,-1,2,1,2,-2,53,1111100
user1,2,29,0,1,1,2,1,-3,21,1111100
user1,2,30,0,-2,1,1,0,-2,37,1111100
user1,2,31,0,0,1,1,0,-1,79,0
user1,2,32,0,-1,0,0,1,-3,21,1110000
user1,2,33,0,-3,1,-1,0,-2,34,1110000
user1,2,34,0,-2,0,-1,0,-1,53,1010000
user1,2,35,0,1,1,1,-1,0,22,1010000
user1,2,36,0,0,2,-1,1,-3,52,0
user1,2,37,0,-2,2,1,0,-2,84,1010000
user1,2,38,0,0,1,0,1,-2,41,1111000
user1,2,39,0,-1,0,-1,-2,1,59,1110000
user1,2,40,0,-1,1,-1,2,-2,85,1110000
user1,2,41,0,-2,1,-1,0,-1,23,1110100
user1,2,42,0,1,0,1,-2,0,57,1010000
user1,2,43,0,-1,0,1,0,-1,34,1111000
user1,2,44,0,-1,2,0,1,-2,17,1010000
user1,2,45,0,1,1,2,1,-1,26,1110100
user1,2,46,0,-3,1,-1,0,-2,34,1111000
user1,2,47,0,-1,2,1,1,-1,53,1011100
user1,2,48,0,-2,1,1,2,-1,49,1110000
user1,2,49,0,0,1,1,-1,-1,35,1010000
user2,2,0,0,0,1,0,-1,-1,49,0
user2,2,1,0,0,1,1,1,-1,36,0
user2,2,3,0,2,2,2,3,0,63,0
user2,2,6,0,2,1,1,2,-1,43,0
user2,2,7,0,1,0,1,1,-1,52,0
user2,2,9,0,2,1,1,0,0,218,0
user2,2,10,0,2,1,2,-1,0,76,0
user2,2,17,0,1,1,1,0,0,62,0
user2,2,22,0,1,0,-2,-1,0,37,0
user2,2,24,0,0,0,0,0,0,25,0
user2,2,25,0,0,2,0,-1,-1,48,0
user2,2,28,0,2,2,3,2,-1,39,0
user2,2,29,0,0,0,-1,-1,1,60,0
user2,2,32,0,1,1,1,1,1,55,0
user2,2,34,0,0,1,-1,0,-1,37,0
user2,2,36,0,0,0,-1,0,1,34,0
user2,2,37,0,1,2,2,2,-1,45,0
user2,2,38,0,1,0,0,-1,0,41,0
user2,2,39,0,0,1,-1,-1,-1,47,0
user2,2,42,0,1,2,1,0,2,40,0
user2,2,48,0,2,1,2,0,-1,64,0
user3,2,13,0,1,-1,-1,0,1,61,1001100
user3,2,16,0,0,1,1,0,0,1861,1010100
user3,2,28,0,2,0,2,2,-1,49,1010100
user3,2,33,0,-1,2,-2,-1,0,9999,1111100
user3,2,35,0,-1,1,1,0,-2,41,1111100
user3,2,41,0,1,1,1,-1,2,89,1000000
user3,2,44,0,-2,2,-1,-1,1,9999,110100
user4,2,0,0,-1,1,1,-1,1,61,1111100
user4,2,1,0,2,2,3,2,-1,30,1110100
user4,2,2,0,-1,1,-1,1,1,38,1111100
user4,2,3,0,2,2,3,2,-1,37,1111100
user4,2,4,0,2,2,2,-1,1,34,1110100
user4,2,5,0,-1,-1,-2,-1,2,61,1110100
user4,2,6,0,2,2,3,2,-2,27,1110100
user4,2,7,0,2,2,2,0,-1,33,1110100
user4,2,8,0,1,2,3,2,-2,29,1110100
user4,2,9,0,-1,1,1,1,-1,34,1111100
user4,2,10,0,1,1,2,0,-1,42,1110100
user4,2,11,0,1,2,3,1,-2,57,1110100
user4,2,12,0,-2,1,2,-1,-1,57,1100100
user4,2,13,0,1,1,3,1,-1,31,1110100
user4,2,14,0,0,2,3,-1,-1,40,1110110
user4,2,15,0,2,2,2,0,-2,42,1110100
